,COOKING,DISHWASHING,LAUNDRY_IRON,CLEANING_ELECTRIC,SCREENS_LEISURE,ADMIN_ON_DEVICES,APPLIANCE_HOUSEHOLD_ELEC,SLEEP,EAT_DRINK,PERSONAL_CARE,CARE_AT_HOME,QUIET_SOCIAL,EXERCISE_NO_MACHINE,OUT_OF_HOME
COOKING,0.705654535328711,0.008114950515790496,0.0048768898267414,0.00492926082802385,0.029986868929434547,0.004151359857755251,0.006269192055957776,0.00233114822781641,0.1656047701040778,0.013916635584690296,0.01742804735360389,0.01350788630638824,4.34296108195934e-05,0.023185025470189403
DISHWASHING,0.01597390230678458,0.6525699029081979,0.026607983306224173,0.029533039005298817,0.09776611400427368,0.010164796362360638,0.016379400682512996,0.009299125672603345,0.007462992578012875,0.03162431714529144,0.03200247855186962,0.031177813315837674,9.112323050076771e-05,0.0393470109302315
LAUNDRY_IRON,0.0163667179281139,0.007275892803539349,0.8320402517814507,0.01690935036506463,0.033710174242739116,0.006220645894235165,0.008483538610029694,0.005370906588712322,0.010527069276844141,0.013792100195347677,0.00969349349071983,0.011723169712335536,5.77268549947584e-05,0.02782896225587313
CLEANING_ELECTRIC,0.013347620956551235,0.0030774923679422737,0.008759135341823676,0.8716072034290295,0.022120632766967838,0.003890036695550279,0.0071371303462949825,0.004047303339603441,0.008917943815720497,0.013040796817663203,0.007171050602855469,0.009596348946930218,4.6254895309753616e-05,0.02724104967775756
SCREENS_LEISURE,0.005917067834779704,0.0010705662773035007,0.0018030497015337486,0.001623503873034794,0.9154051380119528,0.0017767445604852292,0.0029387609254607635,0.02444347854948156,0.00718377513023693,0.010015903134937252,0.003818482521734402,0.006292048503149202,3.01891216060189e-05,0.017681291854304122
ADMIN_ON_DEVICES,0.015573300392641284,0.002500882339965589,0.006498985309039573,0.00542087616358583,0.041836700930868664,0.7308173776856223,0.016883023779062072,0.012151475713592447,0.013265429920148232,0.018132086292848633,0.007872126880487051,0.021247849296333877,7.169012220408523e-05,0.10772819517360038
APPLIANCE_HOUSEHOLD_ELEC,0.01954540012254758,0.002511990646943236,0.0050228074664813585,0.005278701840796137,0.02857800200489721,0.005471209535234777,0.8353472298847067,0.0070241831922001514,0.017963080780454364,0.019415105280579964,0.004948856339959198,0.014562502787840086,6.808198949659238e-05,0.03426284812786267
SLEEP,0.0030438758372621794,0.00011010349323571903,0.0002829497859256162,0.0005624993169130705,0.0019826724627520285,0.00029234096623101575,0.001080795319630036,0.9760252072232749,0.003989308626973008,0.007788445852761675,0.0012165626418037866,0.0009496426291580767,1.9187152865342212e-05,0.002656408691213539
EAT_DRINK,0.0028757850910168547,0.022202140587314716,0.005593553832683742,0.007363224478250821,0.06424067520779712,0.005351187118912083,0.010237884897742053,0.007419458054531948,0.7202092788774879,0.022068304675765635,0.0122802883882726,0.024702285388773643,0.00014283328375406357,0.09531310011769688
PERSONAL_CARE,0.020529470119946543,0.0019242278902362037,0.004009969582933648,0.005719392314566577,0.04374482458945159,0.0066368235072271275,0.008813570438874815,0.04344229365996835,0.03016536717744382,0.7135581408695509,0.012877651244968067,0.01910044190832247,0.00012134031860032303,0.08935648637790951
CARE_AT_HOME,0.018871950572198985,0.004865283763986496,0.005088218433512389,0.005731544194144249,0.02962270961166904,0.0038695089067708444,0.003764411133994352,0.0125119429287246,0.01234314953608357,0.015675492048663454,0.7552081785175906,0.011274124716023695,5.8387651542495596e-05,0.12111509798509522
QUIET_SOCIAL,0.007525815563348186,0.001519060020470511,0.0019368815247467815,0.002112878547882847,0.017507818153475803,0.00237710265014946,0.0038330780233660046,0.016837200925058637,0.01124643834595712,0.009151845203075422,0.0039039339677454598,0.8673439580679092,8.09129171300874e-05,0.054623076089684426
EXERCISE_NO_MACHINE,0.005833029529711994,0.0006770480704129993,0.0013020155200249987,0.0017707411072339983,0.007655851257746992,0.0016665798656319984,0.0013540961408259986,0.002083224832039998,0.008228738086557991,0.01947815217957398,0.0026561116608509973,0.01093693036820999,0.8618821936357481,0.07447528774542993
OUT_OF_HOME,0.006044364310666862,0.000519567917423339,0.0015061140427988175,0.0014635359410387653,0.012371700384112016,0.004837908043498249,0.005289235922154802,0.003597159143020189,0.01980249974884674,0.007318024933045935,0.012725789084424666,0.01334996104103689,0.0001643284576036607,0.9110098110303291
