covariate,type_x,variant,base_x,cand_x,B_alone,n_pairs_alone,delta_nll_mean_alone,delta_nll_ci95_lo_alone,delta_nll_ci95_hi_alone,nllA_mean_alone,nllB_mean_alone,relative_improvement_percent_alone,delta_top1_mean_alone,delta_top1_ci95_lo_alone,delta_top1_ci95_hi_alone,note_alone,resampling_alone,sig_alone,type_y,base_y,cand_y,B_onR1,n_pairs_onR1,delta_nll_mean_onR1,delta_nll_ci95_lo_onR1,delta_nll_ci95_hi_onR1,nllA_mean_onR1,nllB_mean_onR1,relative_improvement_percent_onR1,delta_top1_mean_onR1,delta_top1_ci95_lo_onR1,delta_top1_ci95_hi_onR1,note_onR1,resampling_onR1,sig_onR1,Redundancy_mean,Synergy_mean
Sex,Standalone,b1h,R0,R8,2000,48781,0.0016106077518083942,0.001493214585429722,0.0017247748874982863,0.43858498611509744,0.43697437836328906,-0.3672282004167201,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R2,2000,48781,0.0015168995188569216,0.0013949424010149783,0.0016358875756591444,0.4385542817767163,0.4370373822578594,-0.34588637755661666,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,9.370823295147264e-05,-9.370823295147264e-05
Employment,Standalone,b1h,R0,R9,2000,48781,-2.041992002198667e-05,-8.061023597812772e-05,3.4575299736182204e-05,0.43858498611509744,0.4386054060351194,0.004655863896040411,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R3,2000,48781,-0.0005079233449186736,-0.0006501688118583227,-0.0003808182040768632,0.4385542817767163,0.43906220512163496,0.1158176686500294,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,True,0.00048750342489668687,-0.00048750342489668687
Day Type,Standalone,b1h,R0,R10,2000,48781,0.0007731387934505633,0.0007075536738276661,0.0008402010491209064,0.43858498611509744,0.43781184732164685,-0.17628026903038338,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R4,2000,48781,0.0006549731382489331,0.0005760115927412124,0.0007355126506768183,0.4385542817767163,0.4378993086384673,-0.1493482484301461,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,0.00011816565520163019,-0.00011816565520163019
HH Size,Standalone,b1h,R0,R11,2000,48781,0.000969952271812722,0.000856969536050451,0.0010809059252942243,0.43858498611509744,0.4376150338432847,-0.22115491923341363,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R5,2000,48781,0.0006721749616242869,0.0005341892390729447,0.0008024130247651487,0.4385542817767163,0.43788210681509204,-0.15327064164123594,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,0.0002977773101884351,-0.0002977773101884351
Quarter,Standalone,b1h,R0,R12,2000,48781,4.941513103969703e-06,-2.7901446526535646e-05,3.682806327277183e-05,0.43858498611509744,0.4385800446019935,-0.0011266945427705329,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R6,2000,48781,-0.00024549809635172486,-0.0003072026140430187,-0.00018740946471784982,0.4385542817767163,0.438799779873068,0.055978953245454065,0.0,0.0,0.0,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,True,0.00025043960945569455,-0.00025043960945569455
Sex,Standalone,b2h,R0,R8,2000,48781,0.0016726896649446434,0.0015591688266170486,0.0017868687031891892,0.4264832387464297,0.4248105490814851,-0.3922052528632103,7.716379661750484e-05,3.643563746181522e-05,0.00011925452485849348,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R2,2000,48781,0.0015252184765867187,0.0014045281997304632,0.0016480571589870192,0.42655446283906584,0.4250292443624791,-0.3575671126343757,3.004469735997045e-05,3.3022335327759275e-07,5.951427235756312e-05,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,0.00014747118835792467,-0.00014747118835792467
Employment,Standalone,b2h,R0,R9,2000,48781,-8.227295339890032e-05,-0.00019018582576919157,-9.38539808736302e-07,0.4264832387464297,0.42656551169982854,0.019291016838252958,9.805240739294252e-05,6.35983144624358e-05,0.000134490198908197,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,True,OnRegion,R1,R3,2000,48781,-0.000792176251993951,-0.0009597644298860771,-0.000622286036458971,0.42655446283906584,0.42734663909105974,0.1857151480074492,0.00010735830849522,7.210898965235302e-05,0.0001438167252175476,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,True,0.0007099032985950507,-0.0007099032985950507
Day Type,Standalone,b2h,R0,R10,2000,48781,0.0009058446609457613,0.000821842552068357,0.0009827456989245028,0.4264832387464297,0.4255773940854839,-0.21239865454228116,2.0826838519644175e-07,0.0,8.97703032710084e-07,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R4,2000,48781,0.000744831738583585,0.0006488074723354828,0.0008352758742015342,0.42655446283906584,0.4258096311004822,-0.17461585881111777,-7.369712962043695e-07,-4.106023888790222e-06,2.698163094599358e-06,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,0.0001610129223621763,-0.0001610129223621763
HH Size,Standalone,b2h,R0,R11,2000,48781,0.0010868156471115346,0.0009661412072913664,0.00119741958229921,0.4264832387464297,0.4253964230993181,-0.2548319718978951,-2.2754888432314767e-06,-4.750048674203588e-06,-1.0275942989856925e-07,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,OnRegion,R1,R5,2000,48781,0.0006711066779100617,0.0005209761899217116,0.0008072495361789953,0.42655446283906584,0.42588335616115575,-0.15733200244660497,-3.112023155492638e-06,-1.533322468549536e-05,9.272323802650968e-06,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,False,0.00041570896920147286,-0.00041570896920147286
Quarter,Standalone,b2h,R0,R12,2000,48781,-0.012096805855563816,-0.012322325500526707,-0.011865566729062898,0.4264832387464297,0.4385800446019935,2.83640827037428,0.0001565996433046312,0.0001042233336640408,0.00020438016521713616,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,True,OnRegion,R1,R6,2000,48781,-0.0004974056989241518,-0.0005737785429251807,-0.0004220572763107342,0.42655446283906584,0.42705186853799,0.11661012655066683,2.8863777924591326e-05,1.01378044153011e-05,4.9550763834770836e-05,ΔNLL = NLL(base) − NLL(candidate); negative favours candidate,PPS by weight_total_A; fallback uniform,True,-0.011599400156639664,0.011599400156639664
