covariate,rung,variant,B,n_pairs,delta_nll_mean,delta_nll_ci95_lo,delta_nll_ci95_hi,nllA_mean,nllB_mean,relative_improvement_percent,delta_top1_mean,delta_top1_ci95_lo,delta_top1_ci95_hi,note,resampling,better_nll,better_nll_sig95_improve,better_nll_sig95_any,better_top1,better_top1_sig95_improve,better_top1_sig95_any,sig_95
day_type,R10,b1h,2000,48781,0.0007731387934505633,0.0007216452153954403,0.0008242468252085688,0.43858498611509744,0.43781184732164685,-0.17628026903038338,0.0,0.0,0.0,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,False,False,False,False
employment,R9,b1h,2000,48781,-2.041992002198667e-05,-6.59420900714261e-05,2.162637122194582e-05,0.43858498611509744,0.4386054060351194,0.004655863896040411,0.0,0.0,0.0,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,True,False,False,False,False,False,False
hh_size_band,R11,b1h,2000,48781,0.000969952271812722,0.0008857546427466015,0.0010525150184530691,0.43858498611509744,0.4376150338432847,-0.22115491923341363,0.0,0.0,0.0,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,False,False,False,False
quarter,R12,b1h,2000,48781,4.941513103969703e-06,-1.989089900924085e-05,2.982127633796571e-05,0.43858498611509744,0.4385800446019935,-0.0011266945427705329,0.0,0.0,0.0,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,False,False,False,False,False
region,R1,b1h,2000,48781,3.0704338381167205e-05,7.264862197162158e-06,5.423618125444257e-05,0.43858498611509744,0.4385542817767163,-0.007000772792780803,0.0,0.0,0.0,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,False,False,False,False
sex,R8,b1h,2000,48781,0.0016106077518083942,0.0015213790800896812,0.0017027499553557395,0.43858498611509744,0.43697437836328906,-0.3672282004167201,0.0,0.0,0.0,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,False,False,False,False
day_type,R10,b2h,2000,48781,0.0009058446609457613,0.0008433680655580145,0.0009648076464590219,0.4264832387464297,0.4255773940854839,-0.21239865454228116,2.0826838519644175e-07,0.0,8.888292219733085e-07,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,False,False,False,False
employment,R9,b2h,2000,48781,-8.227295339890032e-05,-0.00016133325655318665,-1.631921941840642e-05,0.4264832387464297,0.42656551169982854,0.019291016838252958,9.805240739294252e-05,7.105453670452344e-05,0.00012667267027881843,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,True,True,True,False,False,True,True
hh_size_band,R11,b2h,2000,48781,0.0010868156471115346,0.0009942258856238534,0.001174286345150087,0.4264832387464297,0.4253964230993181,-0.2548319718978951,-2.2754888432314767e-06,-4.1349343554653025e-06,-5.188805846240155e-07,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,True,True,True,False
quarter,R12,b2h,2000,48781,-0.012096805855563816,-0.012271852840432194,-0.011918401856862462,0.4264832387464297,0.4385800446019935,2.83640827037428,0.0001565996433046312,0.00011715433593864899,0.00019177023406628522,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,True,True,True,False,False,True,True
region,R1,b2h,2000,48781,-7.122409263615593e-05,-0.00010578759609382177,-3.758252497825383e-05,0.4264832387464297,0.42655446283906584,0.01670032633533413,1.317814218404878e-06,0.0,4.80695394227959e-06,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,True,True,True,False,False,False,True
sex,R8,b2h,2000,48781,0.0016726896649446434,0.001585879239597178,0.0017597087140959267,0.4264832387464297,0.4248105490814851,-0.3922052528632103,7.716379661750484e-05,4.5724778099318075e-05,0.00010964837668255566,ΔNLL = NLL(R0) − NLL(R_singleton) (negative favours singleton); ΔTop1 same sign rule.,PPS by weight_total of R0; fallback uniform,False,False,True,False,False,True,False
