variant,covariate,bits_saved,aligned_weight_total
b1h,region,0.0,54788643350.3707
b1h,sex,0.0,54788643350.3707
b1h,employment,1614057.9471504698,54788643350.3707
b1h,day_type,0.0,54788643350.3707
b1h,hh_size_band,0.0,54788643350.3707
b1h,quarter,0.0,54788643350.3707
b2h,region,5629787.610538555,54788643350.3707
b2h,sex,0.0,54788643350.3707
b2h,employment,6503126.071309448,54788643350.3707
b2h,day_type,0.0,54788643350.3707
b2h,hh_size_band,0.0,54788643350.3707
b2h,quarter,956171503.3793516,54788643350.3707
