rung,variant,n_cases,mean_nll,mean_top1,avg_transitions
R0,b1h,50562,0.4589255167244159,0.9026893464722298,143.0
R0,b2h,50562,0.44583803777261927,0.9027332842202428,143.0
R1,b1h,50562,0.4588922165746265,0.9026893464722298,143.0
R1,b2h,50562,0.44591609668800436,0.9027298577723565,143.0
R10,b1h,50562,0.45781985499988215,0.9026893464722298,143.0
R10,b2h,50562,0.44453238974222165,0.9027326988958997,143.0
R11,b1h,50562,0.4569047473457275,0.9026893464722298,143.0
R11,b2h,50562,0.44372856724466336,0.9027390177365274,143.0
R2,b1h,50562,0.4573343731633759,0.9026893464722298,143.0
R2,b2h,50562,0.44440107666296136,0.9027306873389633,143.0
R3,b1h,50562,0.4592738967425439,0.9026893464722298,143.0
R3,b2h,50562,0.4465685142004714,0.9027024892097911,143.0
R4,b1h,50562,0.4578815987734148,0.9026893464722298,143.0
R4,b2h,50562,0.4447623854228429,0.9027304663354518,143.0
R5,b1h,50562,0.4571435210758077,0.9026893464722298,143.0
R5,b2h,50562,0.44416912527276986,0.9027412390475397,143.0
R6,b1h,50562,0.45917904916345054,0.9026893464722298,143.0
R6,b2h,50562,0.44648137029783,0.9027149200150427,143.0
R7,b1h,50562,0.48814270176497654,0.9021960666847061,143.0
R7,b2h,50562,0.4900121030231765,0.901477597206126,143.0
R8,b1h,50562,0.4572625647507165,0.9026893464722298,143.0
R8,b2h,50562,0.4441556111194482,0.9027266971689629,143.0
R9,b1h,50562,0.4588674252707663,0.9026893464722298,143.0
R9,b2h,50562,0.4458668633789669,0.9027135930879115,143.0
